fecha,cliente,segmento,pais,ciudad,responsable_cuenta,producto,plan,canal,estado,ingresos,cantidad,margen_bruto,tickets_soporte,nps,riesgo_churn,comentarios
2025-02-04,Cliente 014,Mediana empresa,Estados Unidos,Nueva York,Sofía Vega,Soporte IA,Enterprise,Aliado,Activo,4433.0,7,2024.48,0,7,6.0,El cliente pidió reportes más rápidos y dashboards más claros
2025-02-05,Cliente 045,Mediana empresa,Chile,Santiago,Daniel Ortiz,Sincronización CRM,Inicio,Referido,Expansión,1745.09,5,799.24,3,5,53.6,Bajo uso durante el último mes
2025-02-06,Cliente 023,Mediana empresa,Estados Unidos,Austin,Daniel Ortiz,Pagos,Escala,Referido,Activo,2740.18,8,1991.06,0,7,11.6,Bajo uso durante el último mes
2025-02-07,Cliente 044,Pyme,Perú,Lima,Sofía Vega,Automatización,Crecimiento,Prospección,Expansión,960.76,3,708.0,0,6,2.2,Bajo uso durante el último mes
2025-02-08,Cliente 063,Mediana empresa,Colombia,Medellín,Sofía Vega,Soporte IA,Escala,Entrada,Perdido,3324.46,7,2190.9,1,5,25.9,Varios tickets sobre confiabilidad de la integración
2025-02-09,Cliente 046,Mediana empresa,Colombia,Medellín,Luis Rivera,Analítica,Escala,Prospección,Activo,2873.03,10,1760.91,1,5,23.3,Sponsor ejecutivo positivo y oportunidad de expansión
2025-02-10,Cliente 013,Mediana empresa,Colombia,Medellín,Luis Rivera,Sincronización CRM,Inicio,Aliado,En riesgo,1305.17,11,875.86,0,9,0,Está satisfecho con la automatización pero quiere más campos del CRM
2025-02-11,Cliente 062,Pyme,Colombia,Bogotá,Carlos Méndez,Soporte IA,Inicio,Entrada,Activo,494.0,6,220.65,0,6,5.0,Preocupación de precio durante la conversación de renovación
2025-02-12,Cliente 016,Mediana empresa,México,Monterrey,Daniel Ortiz,Automatización,Escala,Referido,Expansión,3931.22,5,3052.24,2,5,40.2,Preocupación de precio durante la conversación de renovación
2025-02-13,Cliente 081,Pyme,Chile,Santiago,Luis Rivera,Automatización,Crecimiento,Aliado,Expansión,698.29,6,406.53,0,6,6.6,Está satisfecho con la automatización pero quiere más campos del CRM
2025-02-14,Cliente 010,Mediana empresa,Estados Unidos,Nueva York,Daniel Ortiz,Automatización,Crecimiento,Aliado,Activo,3082.75,12,1374.0,0,8,1.0,Alta adopción por parte del equipo de operaciones
2025-02-15,Cliente 060,Mediana empresa,Chile,Valparaíso,Daniel Ortiz,Pagos,Crecimiento,Entrada,Activo,2108.64,10,1560.8,0,4,18.5,El cliente pidió reportes más rápidos y dashboards más claros
2025-02-16,Cliente 087,Mediana empresa,México,CDMX,Sofía Vega,Pagos,Crecimiento,Prospección,Expansión,1762.03,6,1051.97,0,8,0,Varios tickets sobre confiabilidad de la integración
2025-02-17,Cliente 053,Mediana empresa,Colombia,Medellín,Daniel Ortiz,Analítica,Crecimiento,Prospección,Activo,2129.25,10,983.14,1,3,51.5,Está satisfecho con la automatización pero quiere más campos del CRM
2025-02-18,Cliente 053,Pyme,México,Monterrey,Sofía Vega,Soporte IA,Escala,Aliado,Expansión,1115.54,5,822.27,1,6,23.6,Necesita apoyo de onboarding y documentación más clara
2025-02-19,Cliente 040,Mediana empresa,México,CDMX,Luis Rivera,Analítica,Crecimiento,Entrada,Activo,2852.19,9,1356.02,2,6,34.1,Está satisfecho con la automatización pero quiere más campos del CRM
2025-02-20,Cliente 061,Pyme,México,Guadalajara,Luis Rivera,Pagos,Crecimiento,Aliado,Activo,866.73,3,493.5,3,8,29.4,Sponsor ejecutivo positivo y oportunidad de expansión
2025-02-21,Cliente 076,Mediana empresa,Chile,Santiago,Sofía Vega,Pagos,Crecimiento,Prospección,Expansión,2261.61,8,1392.33,0,7,0,Preocupación de precio durante la conversación de renovación
2025-02-22,Cliente 053,Pyme,Chile,Valparaíso,Sofía Vega,Automatización,Crecimiento,Entrada,Expansión,820.39,5,374.21,0,7,12.2,Necesita apoyo de onboarding y documentación más clara
2025-02-23,Cliente 010,Pyme,Estados Unidos,Austin,Daniel Ortiz,Soporte IA,Crecimiento,Prospección,Expansión,1002.13,3,730.92,0,8,0.4,El cliente pidió reportes más rápidos y dashboards más claros
2025-02-24,Cliente 080,Pyme,Chile,Valparaíso,Luis Rivera,Analítica,Crecimiento,Entrada,Activo,1037.76,3,498.01,0,7,0.5,Bajo uso durante el último mes
2025-02-25,Cliente 019,Pyme,México,Monterrey,Luis Rivera,Automatización,Inicio,Referido,Activo,751.57,4,380.82,1,6,20.2,El cliente pidió reportes más rápidos y dashboards más claros
2025-02-26,Cliente 060,Enterprise,Chile,Santiago,Ana Torres,Soporte IA,Enterprise,Prospección,Activo,22032.93,16,15958.66,2,7,21.7,Sponsor ejecutivo positivo y oportunidad de expansión
2025-02-27,Cliente 090,Pyme,Estados Unidos,Nueva York,Sofía Vega,Sincronización CRM,Inicio,Entrada,Activo,687.75,5,473.35,2,3,59.5,Varios tickets sobre confiabilidad de la integración
2025-02-28,Cliente 029,Mediana empresa,Chile,Santiago,Ana Torres,Analítica,Inicio,Referido,Expansión,1423.63,8,1064.12,1,6,15.0,Varios tickets sobre confiabilidad de la integración
2025-03-01,Cliente 068,Pyme,Colombia,Bogotá,Carlos Méndez,Soporte IA,Enterprise,Prospección,Perdido,2000.85,5,1084.34,3,9,7.8,Bajo uso durante el último mes
2025-03-02,Cliente 072,Pyme,Perú,Lima,Carlos Méndez,Pagos,Inicio,Prospección,Activo,488.54,2,349.83,0,8,0,Varios tickets sobre confiabilidad de la integración
2025-03-03,Cliente 079,Pyme,Colombia,Medellín,Carlos Méndez,Soporte IA,Inicio,Entrada,Activo,681.34,3,360.82,0,7,11.7,Bajo uso durante el último mes
2025-03-04,Cliente 076,Mediana empresa,Colombia,Medellín,Ana Torres,Soporte IA,Crecimiento,Prospección,Activo,1991.37,7,1517.82,2,7,25.7,Varios tickets sobre confiabilidad de la integración
2025-03-05,Cliente 008,Pyme,Colombia,Bogotá,Sofía Vega,Analítica,Crecimiento,Entrada,En riesgo,696.07,3,375.92,3,6,33.1,Preocupación de precio durante la conversación de renovación
2025-03-06,Cliente 076,Pyme,Perú,Arequipa,Luis Rivera,Pagos,Inicio,Aliado,Expansión,650.6,1,299.0,0,8,0,El cliente pidió reportes más rápidos y dashboards más claros
2025-03-07,Cliente 023,Pyme,Colombia,Medellín,Daniel Ortiz,Analítica,Escala,Referido,Activo,1212.81,3,667.45,0,6,6.4,Sponsor ejecutivo positivo y oportunidad de expansión
2025-03-08,Cliente 059,Mediana empresa,Colombia,Medellín,Sofía Vega,Soporte IA,Escala,Referido,Activo,4372.67,4,2343.58,2,7,24.5,Varios tickets sobre confiabilidad de la integración
2025-03-09,Cliente 049,Enterprise,México,Guadalajara,Daniel Ortiz,Pagos,Crecimiento,Entrada,Activo,8024.23,18,5250.49,2,3,48.3,Preocupación de precio durante la conversación de renovación
2025-03-10,Cliente 053,Pyme,México,Guadalajara,Ana Torres,Sincronización CRM,Crecimiento,Prospección,Expansión,767.19,6,340.76,3,6,30.9,Necesita apoyo de onboarding y documentación más clara
2025-03-11,Cliente 072,Pyme,Estados Unidos,Nueva York,Carlos Méndez,Analítica,Crecimiento,Referido,Activo,983.44,3,668.33,2,6,27.0,Preocupación de precio durante la conversación de renovación
2025-03-12,Cliente 020,Mediana empresa,Colombia,Bogotá,Carlos Méndez,Pagos,Crecimiento,Prospección,Activo,1940.08,10,1495.49,0,8,0,Sponsor ejecutivo positivo y oportunidad de expansión
2025-03-13,Cliente 004,Pyme,Chile,Valparaíso,Carlos Méndez,Sincronización CRM,Inicio,Aliado,Expansión,483.79,1,272.99,2,8,4.6,Bajo uso durante el último mes
2025-03-14,Cliente 059,Pyme,Colombia,Cali,Carlos Méndez,Pagos,Crecimiento,Entrada,Activo,500.23,4,224.79,0,5,22.1,Preocupación de precio durante la conversación de renovación
2025-03-15,Cliente 066,Pyme,México,Guadalajara,Daniel Ortiz,Soporte IA,Crecimiento,Prospección,Expansión,602.64,4,338.86,0,7,0.0,Sponsor ejecutivo positivo y oportunidad de expansión
2025-03-16,Cliente 038,Pyme,Colombia,Cali,Sofía Vega,Automatización,Inicio,Aliado,En riesgo,753.13,5,335.86,0,7,0,Bajo uso durante el último mes
2025-03-17,Cliente 074,Pyme,Chile,Valparaíso,Ana Torres,Soporte IA,Inicio,Prospección,Expansión,530.88,3,404.07,0,8,0,Bajo uso durante el último mes
2025-03-18,Cliente 076,Pyme,Colombia,Medellín,Carlos Méndez,Automatización,Inicio,Aliado,Expansión,463.92,2,227.23,0,7,13.2,Alta adopción por parte del equipo de operaciones
2025-03-19,Cliente 019,Pyme,Colombia,Bogotá,Ana Torres,Automatización,Enterprise,Referido,Expansión,2481.61,2,1545.91,0,6,19.6,Varios tickets sobre confiabilidad de la integración
2025-03-20,Cliente 081,Pyme,México,Guadalajara,Sofía Vega,Sincronización CRM,Escala,Entrada,Perdido,1045.61,5,453.31,1,6,23.9,Alta adopción por parte del equipo de operaciones
2025-03-21,Cliente 079,Mediana empresa,México,Monterrey,Daniel Ortiz,Analítica,Crecimiento,Aliado,En riesgo,2271.79,10,1343.14,1,7,5.1,Alta adopción por parte del equipo de operaciones
2025-03-22,Cliente 065,Mediana empresa,Colombia,Cali,Sofía Vega,Soporte IA,Crecimiento,Aliado,Activo,2469.57,10,1725.75,0,7,6.6,Bajo uso durante el último mes
2025-03-23,Cliente 037,Pyme,Perú,Lima,Carlos Méndez,Analítica,Crecimiento,Aliado,Expansión,1007.44,3,535.64,0,5,12.6,Bajo uso durante el último mes
2025-03-24,Cliente 083,Mediana empresa,Perú,Lima,Sofía Vega,Pagos,Crecimiento,Prospección,Activo,1964.68,10,1367.06,0,10,0,El cliente pidió reportes más rápidos y dashboards más claros
2025-03-25,Cliente 085,Pyme,Chile,Santiago,Daniel Ortiz,Soporte IA,Inicio,Aliado,Activo,700.74,12,488.83,1,6,19.8,Preocupación de precio durante la conversación de renovación
2025-03-26,Cliente 057,Mediana empresa,Chile,Valparaíso,Luis Rivera,Pagos,Inicio,Referido,Activo,1826.53,10,1142.22,3,3,68.6,Bajo uso durante el último mes
2025-03-27,Cliente 021,Mediana empresa,Perú,Lima,Carlos Méndez,Analítica,Crecimiento,Prospección,Expansión,2422.42,10,1106.88,2,3,49.7,Sponsor ejecutivo positivo y oportunidad de expansión
2025-03-28,Cliente 058,Enterprise,Colombia,Medellín,Ana Torres,Automatización,Escala,Prospección,Activo,19432.22,16,10777.62,2,6,24.5,Alta adopción por parte del equipo de operaciones
2025-03-29,Cliente 084,Pyme,Colombia,Bogotá,Carlos Méndez,Soporte IA,Escala,Aliado,Expansión,1278.1,4,752.65,0,4,18.4,Bajo uso durante el último mes
2025-03-30,Cliente 015,Mediana empresa,Colombia,Bogotá,Ana Torres,Automatización,Crecimiento,Referido,Activo,2398.46,10,1470.21,0,5,24.4,El cliente pidió reportes más rápidos y dashboards más claros
2025-03-31,Cliente 079,Pyme,México,CDMX,Ana Torres,Pagos,Enterprise,Entrada,En riesgo,2284.24,2,1406.79,1,4,27.4,El cliente pidió reportes más rápidos y dashboards más claros
2025-04-01,Cliente 082,Pyme,Colombia,Cali,Ana Torres,Sincronización CRM,Escala,Prospección,Activo,1018.73,3,641.28,0,7,1.0,Está satisfecho con la automatización pero quiere más campos del CRM
2025-04-02,Cliente 090,Pyme,Colombia,Bogotá,Ana Torres,Soporte IA,Inicio,Aliado,Perdido,485.97,2,239.0,4,7,40.3,Está satisfecho con la automatización pero quiere más campos del CRM
2025-04-03,Cliente 033,Pyme,Chile,Valparaíso,Carlos Méndez,Analítica,Escala,Prospección,Activo,1005.42,4,567.06,0,3,32.8,Está satisfecho con la automatización pero quiere más campos del CRM
2025-04-04,Cliente 048,Enterprise,México,CDMX,Sofía Vega,Analítica,Crecimiento,Aliado,Activo,9582.66,19,5132.82,4,7,36.1,Bajo uso durante el último mes
2025-04-05,Cliente 022,Mediana empresa,Colombia,Bogotá,Carlos Méndez,Pagos,Enterprise,Prospección,Activo,4626.57,9,3061.06,0,5,25.0,El cliente pidió reportes más rápidos y dashboards más claros
2025-04-06,Cliente 019,Enterprise,Chile,Valparaíso,Ana Torres,Automatización,Inicio,Prospección,Activo,6923.73,19,5274.55,2,6,29.0,Está satisfecho con la automatización pero quiere más campos del CRM
2025-04-07,Cliente 010,Mediana empresa,México,Guadalajara,Carlos Méndez,Sincronización CRM,Inicio,Entrada,Activo,977.42,9,731.97,2,8,18.1,Está satisfecho con la automatización pero quiere más campos del CRM
2025-04-08,Cliente 026,Pyme,Perú,Arequipa,Luis Rivera,Soporte IA,Enterprise,Prospección,Activo,2206.37,6,1490.26,0,6,8.0,Necesita apoyo de onboarding y documentación más clara
2025-04-09,Cliente 047,Pyme,Colombia,Bogotá,Luis Rivera,Automatización,Escala,Entrada,Activo,1362.3,1,1054.26,0,9,0,Está satisfecho con la automatización pero quiere más campos del CRM
2025-04-10,Cliente 068,Pyme,México,Monterrey,Ana Torres,Automatización,Enterprise,Entrada,Expansión,2498.41,7,1661.04,0,10,0,Necesita apoyo de onboarding y documentación más clara
2025-04-11,Cliente 056,Pyme,Perú,Lima,Daniel Ortiz,Automatización,Inicio,Aliado,Expansión,618.28,3,469.1,0,10,0,Necesita apoyo de onboarding y documentación más clara
2025-04-12,Cliente 081,Pyme,México,Monterrey,Luis Rivera,Pagos,Enterprise,Aliado,Activo,1317.75,1,849.7,2,5,46.5,El cliente pidió reportes más rápidos y dashboards más claros
2025-04-13,Cliente 011,Pyme,Chile,Valparaíso,Luis Rivera,Pagos,Crecimiento,Entrada,Activo,729.82,2,557.87,0,4,31.7,Alta adopción por parte del equipo de operaciones
2025-04-14,Cliente 089,Pyme,México,Guadalajara,Sofía Vega,Automatización,Crecimiento,Aliado,Activo,972.64,4,660.04,0,3,45.5,Varios tickets sobre confiabilidad de la integración
2025-04-15,Cliente 066,Mediana empresa,Colombia,Medellín,Ana Torres,Sincronización CRM,Crecimiento,Aliado,Activo,1856.2,8,1190.82,2,6,23.2,Varios tickets sobre confiabilidad de la integración
2025-04-16,Cliente 025,Mediana empresa,México,Monterrey,Sofía Vega,Soporte IA,Escala,Referido,Expansión,2775.36,13,2110.06,0,7,0,Está satisfecho con la automatización pero quiere más campos del CRM
2025-04-17,Cliente 077,Enterprise,Chile,Valparaíso,Carlos Méndez,Pagos,Inicio,Entrada,Activo,4096.27,20,2846.86,0,6,13.4,Alta adopción por parte del equipo de operaciones
2025-04-18,Cliente 050,Pyme,Chile,Valparaíso,Daniel Ortiz,Pagos,Inicio,Entrada,Activo,456.49,5,322.36,0,10,0,El cliente pidió reportes más rápidos y dashboards más claros
2025-04-19,Cliente 006,Pyme,Chile,Valparaíso,Daniel Ortiz,Soporte IA,Inicio,Aliado,En riesgo,528.61,3,410.53,0,7,0.7,Sponsor ejecutivo positivo y oportunidad de expansión
2025-04-20,Cliente 061,Mediana empresa,Colombia,Cali,Ana Torres,Soporte IA,Crecimiento,Entrada,Activo,3008.36,7,1551.08,0,3,37.6,El cliente pidió reportes más rápidos y dashboards más claros
2025-04-21,Cliente 075,Pyme,México,Monterrey,Daniel Ortiz,Soporte IA,Inicio,Aliado,Activo,420.78,4,179.6,0,6,15.8,Está satisfecho con la automatización pero quiere más campos del CRM
2025-04-22,Cliente 008,Mediana empresa,México,Monterrey,Carlos Méndez,Soporte IA,Crecimiento,Prospección,En riesgo,2922.53,10,1711.08,0,6,15.5,Sponsor ejecutivo positivo y oportunidad de expansión
2025-04-23,Cliente 079,Pyme,Estados Unidos,Austin,Daniel Ortiz,Sincronización CRM,Inicio,Prospección,Expansión,599.87,3,357.55,0,5,28.7,Sponsor ejecutivo positivo y oportunidad de expansión
2025-04-24,Cliente 016,Mediana empresa,México,Guadalajara,Carlos Méndez,Automatización,Inicio,Prospección,Activo,2385.07,9,1069.59,2,5,42.9,Sponsor ejecutivo positivo y oportunidad de expansión
2025-04-25,Cliente 072,Mediana empresa,Colombia,Cali,Daniel Ortiz,Automatización,Inicio,Aliado,Activo,2200.87,10,1492.74,1,9,0,Bajo uso durante el último mes
2025-04-26,Cliente 084,Enterprise,Perú,Arequipa,Luis Rivera,Sincronización CRM,Inicio,Entrada,En riesgo,6384.95,20,2887.31,0,6,16.5,Necesita apoyo de onboarding y documentación más clara
2025-04-27,Cliente 054,Enterprise,Colombia,Bogotá,Sofía Vega,Soporte IA,Inicio,Prospección,Activo,7655.32,20,3510.95,2,8,23.8,Está satisfecho con la automatización pero quiere más campos del CRM
2025-04-28,Cliente 018,Enterprise,México,CDMX,Ana Torres,Sincronización CRM,Inicio,Referido,Expansión,6115.47,17,4150.54,3,6,34.9,Preocupación de precio durante la conversación de renovación
2025-04-29,Cliente 023,Mediana empresa,Chile,Valparaíso,Sofía Vega,Pagos,Inicio,Referido,Expansión,1737.11,9,931.95,1,7,7.7,Sponsor ejecutivo positivo y oportunidad de expansión
2025-04-30,Cliente 075,Mediana empresa,Colombia,Cali,Carlos Méndez,Automatización,Inicio,Entrada,Expansión,1823.38,10,870.66,0,3,43.8,Alta adopción por parte del equipo de operaciones
2025-05-01,Cliente 082,Enterprise,Colombia,Cali,Luis Rivera,Automatización,Enterprise,Referido,Expansión,17885.83,17,10189.64,0,5,20.8,Preocupación de precio durante la conversación de renovación
2025-05-02,Cliente 088,Mediana empresa,Perú,Lima,Daniel Ortiz,Soporte IA,Crecimiento,Prospección,Activo,1867.64,8,1163.73,2,7,22.1,Necesita apoyo de onboarding y documentación más clara
2025-05-03,Cliente 022,Pyme,México,CDMX,Luis Rivera,Pagos,Crecimiento,Referido,Expansión,882.95,1,516.04,1,8,11.1,El cliente pidió reportes más rápidos y dashboards más claros
2025-05-04,Cliente 028,Mediana empresa,Colombia,Medellín,Ana Torres,Pagos,Enterprise,Entrada,Expansión,6995.22,9,4126.8,0,8,0,Bajo uso durante el último mes
2025-05-05,Cliente 048,Enterprise,México,Guadalajara,Sofía Vega,Analítica,Escala,Aliado,Activo,14864.8,17,9118.26,2,3,48.5,El cliente pidió reportes más rápidos y dashboards más claros
2025-05-06,Cliente 039,Pyme,Chile,Valparaíso,Daniel Ortiz,Soporte IA,Escala,Aliado,Activo,1208.2,3,574.91,2,10,3.3,El cliente pidió reportes más rápidos y dashboards más claros
2025-05-07,Cliente 031,Pyme,Colombia,Bogotá,Sofía Vega,Pagos,Escala,Entrada,Perdido,950.16,6,583.7,1,7,5.8,Varios tickets sobre confiabilidad de la integración
2025-05-08,Cliente 074,Mediana empresa,Chile,Valparaíso,Luis Rivera,Sincronización CRM,Escala,Aliado,Activo,3101.48,5,1609.84,0,6,16.7,Está satisfecho con la automatización pero quiere más campos del CRM
2025-05-09,Cliente 007,Enterprise,Estados Unidos,Nueva York,Sofía Vega,Pagos,Inicio,Referido,Activo,4918.82,17,3018.45,3,6,46.2,Está satisfecho con la automatización pero quiere más campos del CRM
2025-05-10,Cliente 008,Mediana empresa,Estados Unidos,Nueva York,Daniel Ortiz,Automatización,Crecimiento,Prospección,Expansión,2420.67,10,1580.25,3,4,46.8,Preocupación de precio durante la conversación de renovación
2025-05-11,Cliente 007,Pyme,Chile,Santiago,Ana Torres,Automatización,Escala,Aliado,Activo,1640.12,5,1253.92,0,10,0,Está satisfecho con la automatización pero quiere más campos del CRM
2025-05-12,Cliente 032,Mediana empresa,Chile,Valparaíso,Luis Rivera,Pagos,Inicio,Prospección,Expansión,1398.01,9,855.74,0,8,0,Está satisfecho con la automatización pero quiere más campos del CRM
2025-05-13,Cliente 041,Enterprise,Colombia,Medellín,Ana Torres,Pagos,Escala,Aliado,Activo,7830.74,15,5318.67,1,6,15.6,Varios tickets sobre confiabilidad de la integración
2025-05-14,Cliente 033,Mediana empresa,México,Monterrey,Sofía Vega,Soporte IA,Inicio,Prospección,Expansión,1540.3,10,1046.35,0,7,4.8,El cliente pidió reportes más rápidos y dashboards más claros
2025-05-15,Cliente 010,Enterprise,Chile,Santiago,Sofía Vega,Automatización,Escala,Aliado,En riesgo,11217.04,18,6552.59,2,9,14.7,El cliente pidió reportes más rápidos y dashboards más claros
2025-05-16,Cliente 001,Mediana empresa,México,CDMX,Daniel Ortiz,Sincronización CRM,Crecimiento,Prospección,Activo,1541.75,10,1098.86,0,4,36.2,Alta adopción por parte del equipo de operaciones
2025-05-17,Cliente 068,Pyme,Colombia,Cali,Carlos Méndez,Sincronización CRM,Inicio,Referido,Activo,355.22,6,180.29,0,6,18.6,El cliente pidió reportes más rápidos y dashboards más claros
2025-05-18,Cliente 012,Pyme,Colombia,Medellín,Ana Torres,Analítica,Escala,Entrada,Activo,1476.48,2,850.76,1,4,44.2,El cliente pidió reportes más rápidos y dashboards más claros
2025-05-19,Cliente 030,Pyme,Perú,Arequipa,Carlos Méndez,Analítica,Enterprise,Prospección,Expansión,2329.19,3,1757.04,0,5,21.7,Bajo uso durante el último mes
2025-05-20,Cliente 010,Pyme,México,Monterrey,Sofía Vega,Pagos,Inicio,Aliado,Activo,644.24,8,430.45,3,7,27.9,Preocupación de precio durante la conversación de renovación
